,ci_test_results,z_test_results,z_test_p_values,mean_diff
SNRNP200,False,False,0.281,-2.014
XKR8,True,True,0.0,-4.407
NOX5,False,False,0.116,-2.524
NNMT,False,False,0.495,-0.992
BEX1,False,False,0.418,1.626
ADIPOR2,False,False,0.102,-2.008
CHPF,False,False,0.398,3.523
SLC6A5,False,False,0.152,-0.462
PDE5A,False,False,0.818,0.203
CHRDL2,False,False,0.974,0.043
CHST5,False,False,0.193,-2.031
ATP6V0D1,True,True,0.0,-12.552
JDP2,False,False,0.205,-2.585
C5orf63,False,False,0.381,1.478
TEX2,False,False,0.783,-0.467
SASH3,True,True,0.0,-69.385
CHMP5,False,False,0.277,-2.532
TAL1,False,False,0.475,0.625
HCRT,False,False,0.329,-0.242
KRTAP23-1,False,False,0.258,1.067
CD200R1L,False,False,0.242,1.092
UTP15,False,False,0.202,-1.271
SRL,False,False,0.095,1.719
ARPP21,False,False,0.12,-2.957
GCAT,False,False,0.264,1.18
TCTN1,True,True,0.0,3.088
SGCB,False,False,0.712,0.329
C9orf64,False,False,0.477,-0.501
ERICH3,False,False,0.708,0.535
HIRIP3,False,True,0.007,-4.862
NUP155,True,True,0.003,2.272
TCP10L,False,False,0.205,-0.514
FUS,False,False,0.606,1.926
TNFAIP8,True,True,0.0,17.858
NEURL2,False,False,0.077,2.913
JAM2,False,False,0.39,-0.909
ANKEF1,False,False,0.265,1.278
RTTN,False,False,0.634,-0.812
LSM14B,True,True,0.004,-2.581
GARS,False,False,0.461,3.353
KIAA2013,True,True,0.0,-8.071
PFDN4,False,False,0.5,0.548
SPRR2A,False,False,0.176,1.856
GJB3,False,False,0.461,1.394
NPAS2,False,False,0.406,1.141
CD53,True,True,0.0,-76.278
RGMB,False,False,0.458,1.267
PDK2,True,True,0.0,-1.993
TRAM2,False,False,0.553,0.915
NTNG1,False,False,0.434,1.485
SPINK6,False,False,0.562,-0.548
TMEM54,False,False,0.216,2.89
ALDH18A1,False,True,0.017,3.383
EXT2,True,True,0.0,-5.385
TMEM86A,False,False,0.503,1.085
BIN3,False,False,0.172,-1.743
TSC22D1,False,False,0.192,-3.65
ITGB5,False,False,0.183,7.381
ZNF287,False,False,0.59,0.747
LY6G6F,False,False,0.376,-0.963
RBM14,True,True,0.003,-6.499
ESRRB,False,False,0.364,-0.159
CD244,True,True,0.0,-53.642
SFI1,True,True,0.0,-9.585
PGA4,False,False,0.47,-0.089
RPL7L1,False,False,0.429,1.395
PGF,False,False,0.286,-2.851
CGNL1,False,False,0.58,0.432
C11orf85,False,False,0.186,1.386
TSPAN17,True,True,0.0,-8.34
FAM127A,True,True,0.002,-8.451
CCDC13,False,False,0.757,-0.019
FCER1G,True,True,0.0,-398.583
SLC30A9,False,False,0.202,-1.635
C6orf205,False,False,0.179,1.438
CLEC17A,True,True,0.0,21.984
WT1,False,False,0.2,-0.624
ERCC1,False,True,0.04,-6.153
SRBD1,False,False,0.188,1.534
FAM63B,False,False,0.733,0.525
HSPA6,True,True,0.0,-114.482
RNF103-CHMP3,False,False,0.061,-0.974
AK4,False,True,0.043,3.152
KCTD15,False,False,0.852,0.342
INPP4B,False,False,0.248,-1.525
ZNF599,False,True,0.048,-0.824
SUN2,True,True,0.0,-177.715
MRPL46,False,False,0.24,0.912
TSHZ2,False,False,0.57,-0.886
TMEM179B,True,True,0.0,-10.681
SNRNP40,False,False,0.605,-1.33
ACTBL2,False,False,0.163,-0.727
RSC1A1,False,False,0.224,0.653
FOXB1,False,False,0.25,-1.441
GPR137C,False,False,0.235,1.545
ZC3HC1,False,False,0.963,0.052
PTPRC,True,True,0.0,-180.51
HES6,True,True,0.0,-7.351
FOXA2,False,False,0.111,0.521
C19orf52,True,True,0.011,-2.923
CDH17,False,True,0.037,4.895
CHST15,False,True,0.01,5.694
CLEC4F,False,False,0.098,-1.511
TAS2R38,False,False,0.819,-0.157
RASSF9,False,False,0.794,-0.217
FAM212A,False,False,0.18,1.781
KDM2A,False,True,0.007,-5.543
ZP1,False,False,0.319,1.798
TTC26,False,False,0.13,1.018
ADRA2B,False,False,0.058,-1.313
MTFR1L,False,False,0.619,-1.15
KLHL3,False,False,0.059,-2.358
WDR46,False,False,0.83,-0.395
TMEM163,False,False,0.137,-1.105
LUM,False,False,0.238,-5.509
KLHL26,False,False,0.063,-0.737
OTC,False,False,0.34,1.06
PRR20C,False,False,0.104,2.319
MEX3A,False,False,0.186,-1.211
TBC1D28,False,False,0.377,0.343
NEK3,False,False,0.121,-2.319
RNASE6,False,False,0.946,-0.557
LYSMD3,False,False,0.981,0.03
CGB,False,False,0.315,-1.099
MBNL1,True,True,0.0,-43.457
C14orf37,False,False,0.175,1.918
DCUN1D4,False,False,0.383,-0.751
MGAT4D,False,False,0.299,0.781
OR10J3,False,False,0.818,-0.347
TIAF1,False,False,0.351,-1.013
RAD17,True,True,0.012,3.595
ASB10,False,False,0.976,0.034
ACSM2B,False,False,0.921,0.065
AMIGO1,True,True,0.0,-2.596
OR14J1,False,False,0.448,0.684
TMEM240,False,False,0.051,-0.911
GLT6D1,False,False,0.254,1.689
CCDC88C,True,True,0.0,-16.997
CXorf21,True,True,0.0,18.14
ST7,False,False,0.464,-1.107
CLP1,False,False,0.876,0.229
LSS,False,False,0.157,-5.344
FGF16,False,False,0.466,1.113
TOM1L2,True,True,0.007,-3.1
OR52M1,False,False,0.092,2.341
PSMB7,False,False,0.245,5.706
LGALS3,False,False,0.612,-5.484
OSCAR,False,False,0.427,-1.597
OR6Q1,False,False,0.426,0.45
MSN,True,True,0.0,-189.714
HLA-E,True,True,0.0,-322.997
KRT17,False,False,0.16,41.615
ARPC3,False,True,0.011,-29.928
PPP2R2B,True,True,0.0,-11.0
SLC36A3,False,False,0.771,0.431
JUN,True,True,0.003,-59.177
DGKI,False,False,0.75,0.094
PALM2-AKAP2,False,False,0.536,1.145
HLA-DRB3,True,True,0.0,93.19
PPP2R5B,False,False,0.484,-0.857
EDEM2,True,True,0.002,-3.184
C6orf201,False,False,0.667,0.438
SUV39H2,False,False,0.062,2.147
NUDT19,False,False,0.399,-1.01
RAB25,False,False,0.26,2.576
ESX1,False,False,0.294,1.409
PRDX1,True,True,0.001,109.172
MXRA7,True,True,0.0,-19.949
TRIM14,True,True,0.0,-8.621
GSTA2,False,False,0.923,0.104
CNTNAP4,False,False,0.261,-1.283
MYB,False,False,0.181,2.282
ASF1B,False,False,0.188,2.729
WDR1,True,True,0.0,-59.966
SLC9A3R1,True,True,0.0,-129.103
EFR3B,False,False,0.076,1.012
GJA5,False,False,0.987,0.025
RIMBP3B,False,False,0.317,-1.236
CEP135,False,False,0.976,-0.035
ETS2,False,False,0.131,-6.28
GFOD2,False,False,0.891,-0.158
ATF7IP2,False,False,0.057,1.29
NRG4,False,False,0.192,1.889
C1QTNF6,False,False,0.312,-1.153
RUFY1,False,False,0.315,1.347
OR10H5,False,False,0.095,1.465
HTR1A,False,False,0.709,-0.294
SHISA3,False,False,0.065,2.196
APOLD1,False,False,0.259,-1.84
FBXO9,True,True,0.0,-8.381
SYNGR1,True,True,0.0,-9.558
ALG11,False,False,0.694,-0.728
GYPC,True,True,0.0,-19.095
KLK14,False,False,0.666,0.392
EFNB3,False,False,0.24,2.042
SEPT14,False,False,0.11,-0.145
GRASP,True,True,0.0,16.504
GABARAPL1,True,True,0.0,-61.742
GPAM,False,False,0.626,-0.36
KIAA2022,False,False,0.123,0.914
MAGEE1,False,False,0.273,-0.628
LRRC18,False,False,0.066,2.766
SPDYE3,False,False,0.191,0.97
RPRML,False,False,0.107,-1.708
RNF169,True,True,0.0,-3.227
TRAT1,False,False,0.343,-2.182
PANK4,True,True,0.0,-4.237
SMC5,False,False,0.207,-1.223
LILRB5,False,False,0.759,0.422
AIM2,True,True,0.0,24.55
DAAM1,False,False,0.131,2.277
PRL,False,False,0.92,0.202
SYS1,True,True,0.0,-4.672
SPIN2B,False,False,0.35,-1.358
IRX2,False,False,0.972,0.075
HDGFRP3,False,True,0.008,-1.547
MLNR,False,False,0.624,0.512
GABRR2,False,False,0.427,0.804
FAM187A,False,False,0.27,1.499
MIEN1,True,True,0.003,-15.848
HLA-DPA1,True,True,0.0,353.718
ETFB,False,False,0.313,3.629
IGDCC3,False,False,0.417,0.795
TTBK2,False,False,0.499,-0.527
RNF112,False,False,0.549,-0.533
ADAM33,False,False,0.085,-1.763
MAGEB5,False,False,0.425,0.665
ME1,False,False,0.554,-1.212
PTGES3,False,True,0.037,14.458
IPO8,False,False,0.138,-2.932
FRMD4B,False,False,0.089,-2.77
KRTAP13-2,False,False,0.957,-0.036
LRRC36,False,False,0.36,1.489
PEMT,False,False,0.667,-0.439
ARID3A,False,False,0.389,1.624
MAB21L3,False,False,0.59,-0.521
SCEL,False,False,0.312,1.327
CLTCL1,False,False,0.338,0.537
LRRC37A3,False,True,0.016,3.153
RBM15B,False,False,0.288,-1.114
HINFP,False,False,0.329,-1.461
PRRT3,False,False,0.481,-0.506
PLEKHG3,True,True,0.0,-29.321
FMO5,False,False,0.146,1.168
JOSD2,True,True,0.0,-6.191
BACH1,True,True,0.0,11.035
EIF3K,False,False,0.812,-2.155
SCNN1D,False,False,0.396,-1.644
GRM5,False,False,0.665,-0.383
XRRA1,False,False,0.546,-0.873
BST1,False,True,0.013,-5.41
NFKBIE,True,True,0.0,8.274
CCM2L,False,False,0.973,0.023
EPGN,False,False,0.487,1.447
CCDC140,False,False,0.218,-2.619
ZNF268,False,False,0.481,0.269
TCTN2,True,True,0.005,3.189
TMEM38B,False,False,0.105,2.431
TNIP1,False,True,0.048,-10.558
ST6GAL2,False,False,0.461,0.505
DMRTC1,False,True,0.021,1.667
MCF2L2,True,True,0.015,-1.625
RUFY4,False,False,0.227,-1.718
GBP4,True,True,0.004,-7.802
ALDH3B1,False,False,0.8,0.382
RPS27L,False,False,0.25,-8.406
GRHL3,False,False,0.096,1.913
STC2,False,False,0.626,-1.785
PAX4,False,False,0.542,-1.252
PIGG,False,False,0.352,-1.406
TMEM38A,False,False,0.161,1.75
SSH3,False,True,0.012,-2.999
ABCE1,True,True,0.0,7.325
ALDH9A1,False,False,0.652,-0.861
FBXW7,False,False,0.231,1.706
SELE,False,False,0.486,-5.993
SLC11A2,False,False,0.132,-2.321
ZNF479,False,False,0.375,1.075
MAGEE2,False,False,0.511,-0.55
KCNT1,False,False,0.386,-0.786
PRG3,False,False,0.13,0.894
SYNJ2BP-COX16,False,False,0.972,-0.089
IFIT2,True,True,0.002,87.066
BBS2,False,False,0.245,2.209
ATP10A,True,True,0.0,-11.099
ADGRE5,True,True,0.0,-151.54
HTRA3,False,False,0.291,-1.24
TMED7-TICAM2,False,False,0.287,2.473
FOLR3,False,False,0.399,-1.773
KIR3DX1,True,True,0.0,-5.799
FAM102B,False,False,0.125,-2.882
ICAM1,False,False,0.085,-15.84
OR6C68,False,False,0.224,1.135
AKAP2,True,True,0.0,24.308
TNFSF12,True,True,0.0,-5.472
PDE7B,False,False,0.56,0.433
TRIM64B,False,False,0.223,-1.667
SOCS6,False,False,0.592,1.235
WNT8B,False,False,0.992,0.015
MRPS24,False,False,0.347,3.649
SP140,True,True,0.0,19.751
TMSB4X,True,True,0.0,-2486.572
MYLK4,False,False,0.09,-1.835
ZFHX2,False,False,0.668,-0.244
SLITRK5,False,False,0.216,0.602
ERCC8,False,False,0.145,1.234
RAE1,True,True,0.0,-4.186
SOCS7,False,False,0.62,0.754
C14orf119,True,True,0.001,-8.316
MBD1,True,True,0.002,-3.49
PCDHGC3,False,True,0.019,-4.49
OMP,False,False,0.275,-1.026
RALY,True,True,0.0,-26.782
SMIM6,False,False,0.599,-0.504
ANGEL1,False,False,0.416,-1.155
PRDM10,False,True,0.011,-1.588
KCNE3,False,False,0.215,-2.277
VSIG8,False,False,0.079,-2.685
BLVRA,False,True,0.007,-7.868
MRRF,False,False,0.453,1.127
SLC16A10,False,False,0.787,0.186
NOMO2,False,False,0.545,1.509
VWA8,False,False,0.688,0.552
TRIM33,False,False,0.118,-3.098
CACNG7,False,False,0.948,-0.082
OR9A2,False,False,0.742,0.294
TMEM56,False,False,0.866,-0.239
ULK2,True,True,0.001,-2.628
ZNF208,True,True,0.001,2.159
CLDN18,False,False,0.359,-1.522
CELA2A,False,False,0.476,1.048
C10orf55,False,False,0.562,-0.629
TTLL10,False,False,0.621,0.874
SKP1,True,True,0.0,-49.006
MRPL35,False,False,0.18,2.398
UTS2B,False,True,0.04,3.653
NAP1L1,True,True,0.0,87.85
LHFPL3,False,False,0.257,-1.613
VIPR2,True,True,0.0,-2.817
TSR2,False,True,0.012,-4.01
SLC22A12,False,False,0.401,1.647
C19orf44,False,False,0.652,-0.787
XAGE3,False,False,0.463,0.691
TRMU,False,True,0.01,-1.148
FCHSD2,True,True,0.0,39.414
CT47A3,False,False,0.627,0.839
ADCY10,False,False,0.863,-0.161
CLUH,False,True,0.031,3.434
EPG5,True,True,0.0,-3.232
GNG8,False,True,0.02,11.015
HSD17B12,True,True,0.002,5.153
AC004158.1,False,False,0.058,3.997
SLFN11,False,True,0.036,-4.077
UTY,False,False,0.632,-0.419
HOXC4,False,False,0.121,1.863
PCIF1,False,False,0.597,-0.874
FAM96B,True,True,0.0,-15.462
HS6ST2,False,False,0.17,0.664
KCNK3,False,False,0.774,-0.068
TM4SF4,False,False,0.073,5.817
RCOR3,False,False,0.197,-1.491
FAM166B,False,False,0.143,-1.397
RFXANK,False,False,0.107,-2.238
ATP2C2,False,False,0.986,-0.015
ABCC11,False,False,0.623,-0.23
VPS37A,True,True,0.0,-2.92
HLA-DMA,True,True,0.0,90.343
F8A3,False,False,0.771,-0.507
MICU2,False,True,0.011,-3.868
THOC5,False,True,0.024,-2.493
BIRC3,True,True,0.0,68.938
PCDHGC4,False,False,0.682,-0.171
PTBP3,False,False,0.903,0.253
BRIX1,False,False,0.163,1.839
SUFU,False,True,0.032,-2.476
MRAP,False,False,0.964,0.026
TMEM8B,False,False,0.931,-0.173
TFF2,False,False,0.104,-4.133
LRRC55,False,False,0.298,2.196
KLF3,True,True,0.002,-8.403
ZNF765,False,False,0.777,-0.084
SERTAD3,True,True,0.005,-4.43
CACNG8,False,False,0.75,-0.296
CCT3,False,True,0.029,15.583
PCDHA5,False,False,0.375,-1.473
ELF3,False,False,0.412,2.444
LARS2,False,False,0.973,0.014
TAS2R10,False,False,0.381,1.29
SYK,True,True,0.0,16.392
REV1,False,False,0.091,2.365
CWH43,False,False,0.34,1.668
AGR2,False,True,0.02,42.993
MEIS3,False,False,0.514,-0.613
PRR13,True,True,0.0,-59.11
RMND5B,False,True,0.018,3.452
ADORA1,False,False,0.13,-2.624
TOP3A,False,True,0.039,-0.969
ATP2B4,True,True,0.0,-32.87
SBF2,False,False,0.873,0.146
SLC28A2,False,False,0.475,0.977
PIK3R5,True,True,0.0,-29.749
CDC25A,False,False,0.156,1.918
AADAT,False,False,0.603,0.62
PHEX,False,False,0.641,0.492
KCNJ11,False,False,0.157,1.431
PAIP1,False,False,0.145,5.037
UQCR11,True,True,0.0,-16.848
SPAG17,False,False,0.77,0.216
CDCA7,False,False,0.382,1.301
RPS14,True,True,0.0,312.011
ARL11,False,False,0.471,0.339
AGTPBP1,True,True,0.0,-13.098
PCDHB15,False,False,0.168,-1.564
MXD4,True,True,0.001,-7.714
C4orf48,False,False,0.945,-0.162
PADI2,False,False,0.543,1.397
MUTYH,False,False,0.121,-2.09
QTRTD1,False,True,0.017,2.28
RIMKLA,False,False,0.399,-0.822
TKTL1,True,True,0.0,-13.147
NIPSNAP3B,False,False,0.39,0.555
AC012314.12,False,False,0.336,1.528
FAM86B2,False,False,0.244,-2.182
DCTN5,False,False,0.336,-0.851
C5orf46,False,False,0.548,-0.638
TNFSF4,False,False,0.784,-0.251
TFE3,False,False,0.906,0.139
CA11,False,False,0.22,-1.804
IMPAD1,False,False,0.807,0.41
ZNF568,True,True,0.006,-2.922
IRX6,False,False,0.68,-0.421
MTCP1,False,False,0.612,0.966
AC004556.1,False,False,0.389,1.38
NIPAL4,False,True,0.015,1.837
SNURF,False,True,0.008,-6.237
TMPRSS11E,False,False,0.949,-0.032
SMAD6,False,False,0.491,0.683
NUP160,False,False,0.169,1.75
ALDOC,True,True,0.0,-9.93
MORN3,False,False,0.923,0.042
TMEM231,False,False,0.12,0.855
WDR89,False,False,0.549,0.626
ZC3H18,True,True,0.0,-9.629
KLF4,False,False,0.184,-4.037
CLIP3,False,False,0.815,0.237
TSKU,False,True,0.016,4.811
ZBTB45,False,False,0.541,-0.478
METTL1,False,True,0.018,3.155
AC006449.2,True,True,0.0,-28.427
GJD4,False,True,0.047,1.338
SYTL2,True,True,0.0,-24.32
CNOT7,False,False,0.187,3.467
TREML4,False,False,0.425,-0.526
CAPS2,False,False,0.944,0.026
TAS2R16,False,False,0.813,-0.136
PPDPF,False,True,0.036,22.118
SCD,True,True,0.004,36.56
SLC25A40,False,False,0.398,-1.093
GPM6B,False,False,0.876,0.274
TMEM79,False,False,0.622,-0.217
RTN4,False,False,0.364,-8.391
HGF,False,False,0.432,1.441
FEM1A,False,False,0.814,0.19
ZNF467,False,True,0.031,-3.043
RAB19,False,False,0.592,0.833
STON2,False,False,0.141,-2.822
NUFIP1,False,False,0.976,-0.044
TOMM34,False,False,0.581,1.382
MAVS,False,True,0.02,-3.229
C11orf45,False,False,0.292,0.999
AMD1,False,True,0.036,7.378
SASS6,False,False,0.105,1.55
AGXT2,False,False,0.901,-0.181
KRT13,False,False,0.351,7.977
NCAN,False,False,0.278,-2.167
PCNXL2,False,False,0.664,0.488
KLRC4,True,True,0.0,-35.828
SRSF10,False,True,0.021,4.524
FAM129B,False,False,0.91,-0.458
MRPL45,False,False,0.381,1.263
GALNT6,True,True,0.003,-4.826
DZIP1L,False,False,0.332,2.249
FP325331.1,False,False,0.718,0.609
KRTAP6-2,False,False,0.122,-1.066
AMPD3,True,True,0.0,6.42
THAP5,False,False,0.213,1.23
GAB4,False,False,0.133,1.577
MYO5B,False,False,0.745,0.425
DHFRL1,False,False,0.262,-1.104
LLPH,False,False,0.607,-0.733
SAC3D1,False,False,0.351,-0.651
SMKR1,False,True,0.017,-2.466
AFF2,True,True,0.005,3.573
SLC35B4,False,False,0.157,-1.756
PCSK1,False,False,0.448,1.238
SPOP,False,False,0.061,-2.16
BCAM,False,False,0.274,4.53
ISYNA1,False,True,0.046,-4.475
HNRNPA2B1,False,False,0.402,-11.755
CLDN14,False,False,0.618,0.303
LGALS12,True,True,0.029,-2.681
GPR173,False,False,0.725,-0.404
SKIV2L2,False,False,0.266,0.573
TRIM69,False,False,0.668,-0.301
SKAP2,False,False,0.707,0.689
FKBP1B,False,False,0.799,0.093
YPEL5,False,False,0.177,11.128
PDP1,False,True,0.01,5.769
MLXIPL,False,False,0.52,0.813
VAT1,False,False,0.917,-0.566
MAP1LC3B2,False,False,0.52,-0.745
RSPO1,False,False,0.672,0.405
CASC1,False,False,0.906,-0.097
KIAA1549L,False,False,0.656,0.516
PCDHGA12,False,False,0.381,1.503
KRTAP4-4,False,False,0.513,-0.525
ZSCAN16,False,False,0.139,-1.027
HSF4,False,False,0.577,0.896
CRACR2A,True,True,0.0,-10.239
RNF216,False,False,0.422,-1.287
CABP7,False,False,0.434,0.779
SUSD3,True,True,0.0,9.596
KIF3A,False,False,0.665,-0.714
BTBD9,False,False,0.342,0.819
ANKZF1,True,True,0.008,-3.752
ANO4,False,False,0.481,-0.688
PCGF5,True,True,0.004,2.662
GAGE2A,False,False,0.972,-0.15
TPGS2,False,False,0.173,-3.633
PCDH9,False,False,0.244,1.8
ANKS3,False,False,0.229,1.661
RAPGEF2,False,False,0.514,-1.379
PACRGL,False,False,0.616,-0.71
CTDSP1,True,True,0.0,-38.185
IFITM2,True,True,0.0,-630.464
GOLM1,False,False,0.963,0.129
PCDHA10,False,False,0.922,-0.1
CASK,False,False,0.57,0.605
C1D,True,True,0.0,-4.177
RABEP1,True,True,0.0,17.675
RTEL1,False,False,0.192,-2.331
TBC1D1,True,True,0.0,8.464
SAFB2,False,False,0.34,-1.634
CHD9,False,False,0.707,0.67
EPB41L2,True,True,0.003,6.076
VTN,False,False,0.668,1.548
CDK2,False,False,0.122,2.854
TUBAL3,False,False,0.512,-0.669
PPP2CA,False,False,0.861,-0.409
SLC45A2,False,False,0.083,2.953
ERCC6-PGBD3,False,False,0.178,2.485
MAD2L1,False,False,0.714,0.362
ST6GAL1,True,True,0.0,46.2
FCER1A,False,False,0.212,-17.199
TLR2,False,False,0.364,-1.912
C12orf76,False,False,0.072,2.093
WDR86,False,True,0.029,4.411
LMBR1,False,False,0.763,0.269
HOXD1,False,False,0.101,-2.391
KRT85,False,False,0.59,0.508
ANKRD30A,False,False,0.723,-0.363
AANAT,False,False,0.532,-1.094
KLRF1,True,True,0.0,-186.048
TFPI2,False,False,0.294,8.616
ARMC12,False,False,0.412,1.184
SEPHS2,False,False,0.154,-2.867
CKAP2L,False,False,0.389,-1.525
ZDHHC23,True,True,0.0,2.685
CAPN10,True,True,0.0,-8.105
TUBB6,False,False,0.32,6.041
SMR3A,False,False,0.164,1.796
RXFP4,False,False,0.778,0.562
TNFAIP3,True,True,0.0,-139.091
PGM1,True,True,0.0,-7.394
RSPH10B,False,False,0.804,-0.35
COL19A1,True,True,0.0,10.655
ZSCAN25,False,False,0.747,0.302
MICU1,False,False,0.118,-2.103
CHPT1,True,True,0.0,12.501
TRGC1,True,True,0.0,-48.147
PPT2,True,True,0.0,-27.955
QRFP,False,False,0.457,1.115
CD2BP2,True,True,0.0,-11.907
ARHGAP19,True,True,0.007,-3.458
PHKB,True,True,0.0,10.646
HBG2,True,True,0.001,6.67
LAMTOR3,False,False,0.104,-2.044
HSD17B8,False,True,0.014,2.817
CCDC6,True,True,0.004,2.88
GIMAP2,True,True,0.0,-29.319
MAGT1,False,False,0.665,-0.603
PGAP3,False,False,0.061,-2.513
CT45A1,False,False,0.5,0.804
KCNA6,False,False,0.76,-0.405
NOL6,False,False,0.338,0.986
ZDHHC1,False,False,0.9,-0.17
NSMAF,False,False,0.088,2.718
SPAG4,False,False,0.813,0.43
SPANXD,False,False,0.2,-0.87
RBMS2,False,False,0.727,-0.312
LBHD1,True,True,0.001,-2.818
CUL9,False,False,0.41,1.465
CENPW,False,False,0.344,1.811
LRFN5,False,False,0.19,0.966
KMT2C,True,True,0.002,-3.86
APEX1,False,True,0.011,11.614
TONSL,False,False,0.274,0.621
EZH1,False,True,0.025,-2.588
ECH1,False,False,0.354,-8.832
ZNF214,False,False,0.521,1.034
YAF2,True,True,0.0,-5.835
CH17-8C20.6,False,False,0.383,0.331
TRPV5,False,False,0.493,0.223
AADACL2,False,False,0.926,0.078
CST4,False,False,0.251,-6.383
TMEM259,True,True,0.0,-19.373
TRIM72,False,False,0.263,-2.112
ICOSLG,True,True,0.0,27.132
BCLAF1,False,False,0.061,6.61
OR51B4,False,False,0.485,0.96
C1QBP,True,True,0.0,27.647
HNMT,False,True,0.049,-3.572
MITD1,False,True,0.009,-3.072
FGD2,True,True,0.0,22.5
OR52N1,False,False,0.969,0.049
SYNPR,False,False,0.119,1.052
PSMC1,False,False,0.234,-3.66
MGP,False,False,0.143,-51.3
CHCHD2,False,False,0.949,-0.766
GALNT13,False,True,0.037,4.233
MAZ,True,True,0.0,-32.218
KRTAP12-3,False,False,0.796,-0.248
PARS2,False,False,0.935,-0.067
TMEM14C,False,False,0.208,3.56
HLX,False,False,0.085,-2.676
STK32A,False,False,0.365,0.739
STK16,False,True,0.018,-2.7
TRIM38,True,True,0.0,4.43
MAGEA3,False,True,0.01,6.334
CHD5,False,False,0.968,0.045
OR1K1,False,False,0.817,-0.17
OR5AS1,False,False,0.887,0.075
EXO1,False,False,0.832,-0.35
PLEKHA8,False,False,0.626,0.688
TSSK4,False,False,0.367,1.339
GLB1,False,False,0.114,-3.497
MTERF3,False,False,0.62,1.044
PERP,False,False,0.178,5.1
ZCCHC11,False,False,0.975,-0.065
RBM41,False,False,0.487,0.849
ALG10B,False,False,0.358,1.087
NR1H2,False,False,0.062,4.189
OR4F3,False,False,0.799,0.349
PDE6C,False,False,0.888,0.21
CNBP,True,True,0.0,-26.44
NEDD4,False,False,0.56,0.394
PSMB1,True,True,0.0,-20.928
BCAS1,False,False,0.092,1.714
USP29,False,False,0.722,-0.41
MMP11,False,False,0.356,-5.64
SERBP1,False,False,0.769,1.481
CKB,False,False,0.223,27.251
C11orf87,False,False,0.604,0.798
DESI1,False,False,0.371,0.876
SPTB,False,False,0.737,0.108
FZD8,False,False,0.906,-0.128
SPATA21,False,False,0.949,-0.065
GTF3A,False,False,0.099,-6.331
IFT74,False,False,0.214,2.346
SLC17A8,False,False,0.441,0.824
PSG5,False,False,0.213,-3.274
SRRM4,False,False,0.959,0.053
CRISP1,False,False,0.439,-0.696
DCAF11,True,True,0.0,-12.164
LRRC38,False,False,0.72,0.701
ST3GAL5,False,False,0.464,1.039
MRPS10,False,False,0.33,1.962
GPIHBP1,False,False,0.558,-0.809
PLCG2,True,True,0.0,13.917
LHB,False,False,0.858,-0.363
TMPRSS3,False,False,0.173,2.032
SLC35G3,False,False,0.238,-0.618
HAPLN2,False,True,0.04,2.817
C2orf68,True,True,0.0,-4.768
TPP1,True,True,0.0,-28.283
ADRM1,False,False,0.094,-5.468
OGFOD2,False,False,0.121,-1.908
CSHL1,False,False,0.368,1.52
CIDEB,True,True,0.0,-25.523
ALX1,False,False,0.914,0.094
STAG3L5P-PVRIG2P-PILRB,True,True,0.0,-25.784
PRAP1,False,True,0.046,3.471
DIEXF,False,False,0.186,-1.728
CHMP2B,False,False,0.18,-2.013
CDX2,False,False,0.225,0.745
TAF7L,False,False,0.143,1.01
GPAT2,False,False,0.251,0.831
ZNF730,False,False,0.974,0.045
TIGAR,False,False,0.068,-1.965
MATN3,False,False,0.511,0.725
FPR2,False,False,0.445,-2.764
SPATA2,False,False,0.731,-0.432
APOC1,False,False,0.146,35.894
GAB3,True,True,0.0,-15.63
WDR6,False,False,0.927,0.265
FAM83B,False,False,0.252,0.802
SLU7,False,False,0.082,-2.303
ARSJ,False,False,0.708,-0.32
TSPAN31,False,True,0.006,-2.853
RNPEPL1,True,True,0.0,-15.175
ECHDC3,False,False,0.39,1.175
PAK6,False,False,0.416,-1.18
MAGEA4,False,False,0.058,7.191
COX15,False,True,0.02,3.238
TIMM21,False,False,0.143,2.127
PPM1G,False,False,0.067,-5.465
CHIC2,True,True,0.0,-8.777
OR1J1,False,False,0.702,-0.33
CDC42BPB,True,True,0.002,5.526
SHROOM4,False,False,0.147,-0.906
COLGALT2,False,False,0.42,-1.392
IL17RA,True,True,0.002,-5.713
MUSTN1,False,False,0.306,1.397
EPB42,False,False,0.501,0.804
SPNS1,True,True,0.0,-9.507
DEFA1B,False,True,0.015,-19.55
INMT,False,False,0.214,-0.398
TEAD1,False,False,0.064,2.879
TYW1,False,False,0.704,-0.269
GMEB2,False,False,0.116,3.1
CCDC87,False,False,0.24,-1.912
FICD,False,False,0.596,0.393
HIGD1B,False,False,0.718,0.303
LIG4,False,True,0.035,1.864
STIP1,False,True,0.034,-10.505
PCOLCE,False,False,0.501,-3.503
ECHS1,False,False,0.833,0.669
MCPH1,False,False,0.761,0.266
